Coupon,Rating,Name,Location,Delivery Time,Delivery Fee,Average Price,Food Type
$11.5 off $40 rookie coupon,4.7,Shanghai Time,Midtown,Over 73min,$4.49,$23,Chinese
$11.5 off $40 rookie coupon,4.7,Tasty Hand-Pulled Noodles 2,Midtown,49-59min,$2.99,$25,
Specials 100% off,4.4,Hutaoli,Midtown,62-72min,$4.49,,
$11.5 off $40 rookie coupon,4.8,HEYTEA,Broadway,60-70min,$4.49,$9,Bubble Tea
Specials 100% off,4.7,The Best Sichuan,Midtown,42-52min,$4.49,$24,
$11.5 off $40 rookie coupon,4.5,Bibble & Sip,Midtown,51-61min,$2.99,$15,
Specials 100% off,4.8,Liu's MalaTang,Midtown,47-57min,$2.99,$16,
$11.5 off $40 rookie coupon,4.6,MomenTea Kitchen,Times Square,43-53min,$4.49,$20,Japanese
$7 off $15,4.7,Möge Tee,Downtown,Over 73min,$4.99,$8,Bubble Tea
$11.5 off $40 rookie coupon,4.6,Four Four South Village,Midtown,56-66min,$2.99,$24,
$11.5 off $40 rookie coupon,4.7,OBAO Hell's kitchen,Hell's kitchen ,39-49min,$2.99,$31,
$11.5 off $40 rookie coupon,4.4,Dim Sum Palace,Midtown,36-46min,$2.99,$24,
$11.5 off $40 rookie coupon,4.9,Bites of Xi‘an,Midtown,50-60min,$2.99,$17,
$11.5 off $40 rookie coupon,4.6,Thai Time,Midtown,Over 73min,$4.99,$19,
$11.5 off $40 rookie coupon,5.0,,,Over 73min,$4.49,$18,
$11.5 off $40 rookie coupon,4.4,Teriyaki R Us,Midtown,55-65min,$2.99,$17,
$11.5 off $40 rookie coupon,4.3,Bites of Xi‘an 38th,Midtown,60-70min,$4.49,$17,
$11.5 off $40 rookie coupon,4.5,Oohu Sezchun & Canton Cuisines,Midtown,54-64min,$4.49,$21,
$11.5 off $40 rookie coupon,4.6,Jian Bing Man,Koreatown,Over 73min,$4.49,$19,
$11.5 off $40 rookie coupon,4.8,Bubble Bae,Midtown,50-60min,$2.99,$26,
$11.5 off $40 rookie coupon,4.4,Big Wong,Midtown,60-70min,$2.99,$23,
$11.5 off $40 rookie coupon,4.5,Lady M,Broadway,Over 73min,$4.99,$19,
Specials 100% off,4.7,DimSum Garden,Midtown,Over 73min,$4.49,$43,
$11.5 off $40 rookie coupon,4.2,Lunar,Midtown,61-71min,$4.49,$33,
$11.5 off $40 rookie coupon,4.7,Hawa Smoothies & Bubble Tea,Midtown,36-46min,$2.99,,
$11.5 off $40 rookie coupon,4.0,Chef Yu,Midtown,51-61min,$4.49,$16,
$11.5 off $40 rookie coupon,4.4,,,Over 73min,$4.99,$19,
Specials 50% off,4.6,Bites of Xi‘an,32 st,63-73min,$4.49,$19,
Specials 100% off,4.6,Grand Sichuan Eastern,Midtown,45-55min,$4.49,$27,
$11.5 off $40 rookie coupon,4.9,Shinjuku Ramen,Midtown,53-63min,$2.99,$34,
$11.5 off $40 rookie coupon,4.3,,,29-39min,$4.49,$24,
$11.5 off $40 rookie coupon,4.1,Chef Huang,Midtown,Over 73min,$4.99,$50,Chinese
$11.5 off $40 rookie coupon,4.3,Sanmiwago & Botbar,Midtown,56-66min,$2.99,$19,
$11.5 off $40 rookie coupon,4.7,,,Over 73min,$4.99,$20,
$11.5 off $40 rookie coupon,No Rating,Taiwan 101 Steak house-Times Square,Midtown,37-47min,$2.99,$18,
$11.5 off $40 rookie coupon,4.6,Ho Ho Te,Midtown,Over 73min,$2.99,$18,Bubble Tea
$11.5 off $40 rookie coupon,5.0,,,51-61min,$2.99,$14,Chickens
$11.5 off $40 rookie coupon,4.6,Grace Street Coffee & Desserts,Midtown,Over 73min,$4.49,$17,
$11.5 off $40 rookie coupon,No Rating,,,63-73min,$4.49,$17,
$11.5 off $40 rookie coupon,4.2,Xi'an Cuisine,Mid town,61-71min,$4.49,$19,
$11.5 off $40 rookie coupon,5.0,Hua Cheng Restaurant,Midtown,57-67min,$4.49,,
$11.5 off $40 rookie coupon,4.3,Szechuan Gourmet,Midtown,60-70min,$4.49,$43,
$11.5 off $40 rookie coupon,4.6,DAO Dim Sum & Chinese Cuisine,Midtown,Over 73min,$4.99,$25,Chinese
$11.5 off $40 rookie coupon,4.5,Kyuramen - Times Square,Midtown,56-66min,$2.99,$25,
Specials 100% off,4.1,Tipsy Shanghai,3rd Ave,50-60min,$4.49,$27,Chinese
$11.5 off $40 rookie coupon,4.8,Cozy Rice,Midtown,61-71min,$4.49,,
Specials 87% off,No Rating,Kitchen Paradise,Midtown,56-66min,$2.99,$15,
Specials 80% off,5.0,,,58-68min,$2.99,$51,
$11.5 off $40 rookie coupon,4.4,Biao Sugar,Midtown,63-73min,$4.49,,Bubble Tea
Specials 100% off,4.4,Poke Bowl,Midtown,Over 73min,$4.49,$16,
$11.5 off $40 rookie coupon,No Rating,Noddles Boss,East village,Over 73min,$4.99,$16,
$11.5 off $40 rookie coupon,4.3,LENOXTHAI,Uptown,57-67min,$2.99,$28,
$11.5 off $40 rookie coupon,4.0,川云涧,Midtown,57-67min,$4.49,$27,
$11.5 off $40 rookie coupon,4.5,Nanxiang Express,Hell's Kitchen,51-61min,$2.99,$26,
$11.5 off $40 rookie coupon,No Rating,Kung Fu Tea,Midtown,Over 73min,$4.99,$10,
$11.5 off $40 rookie coupon,4.2,Abiko Curry,Midtown,Over 73min,$4.99,$23,Japanese
$11.5 off $40 rookie coupon,4.7,,,Over 73min,$4.99,$8,
$11.5 off $40 rookie coupon,5.0,Lady M,Rockefeller Plaza,25-40min,$2.99,$20,
$11.5 off $40 rookie coupon,4.3,Jurin Sushi Omakse,Midtown,49-59min,$4.49,$54,Japanese
$11.5 off $40 rookie coupon,4.0,Happy Family,Midtown,57-67min,$4.49,$39,Chinese
$11.5 off $40 rookie coupon,4.0,Abaya Thai,Midtown,60-70min,$4.49,,
